Sample	type	UAR.X	UAR.Y
N2121	XY	4.790463503	0.071564815
N2122	XY	4.861715777	0.067214161
N2123	XY	4.877737151	0.07155656
N2124	XY	4.996223814	0.053051885
N2125	XY	4.712305721	0.083059169
N2126	XY	5.003173426	0.055499406
N2127	XY	4.569995585	0.095764199
N2128	XY	4.426196035	0.113576959
N2129	XY	4.814582367	0.073041148
N2130	XY	4.795928906	0.075209671
N2131	XY	4.65372187	0.091554917
N2132	XY	4.945193015	0.0564369
N2133	XY	5.018909641	0.048506366
N2134	XY	5.009043475	0.051812301
N2135	XY	4.713993565	0.092615634
N2136	XY	4.708633209	0.085197388
N2137	XY	4.64589909	0.090536751
N2138	XY	4.637469875	0.095473826
N2139	XY	4.806924297	0.072762253
N2140	XY	5.121755219	0.038923568
N2141	XY	4.753674159	0.078339159
N2142	XY	5.040929168	0.051766939
N2143	XY	4.777089608	0.070506907
N2144	XY	5.104325502	0.042490828
N2145	XY	4.86358889	0.065598534
N2146	XY	4.94201997	0.06198771
N2147	XY	4.153196967	0.139193897
N2148	XY	4.91383963	0.065796749
N2149	XY	4.703341745	0.080604048
N2150	XY	4.538995637	0.099211292
N2151	XY	4.848724265	0.073958237
N2152	XY	4.910819286	0.066740601
N2153	XY	4.962914482	0.055453185
N2154	XY	4.784044968	0.073019526
N2155	XY	4.561242714	0.095708928
N2156	XY	4.987308353	0.05601199
N2157	XY	4.964475749	0.05101151
N2158	XY	5.002901186	0.043879173
N2159	XY	5.010482285	0.044069514
N2160	XY	4.863615355	0.067243261
N2161	XY	4.666932419	0.093976303
N2162	XY	4.70166312	0.085673767
N2163	XY	4.495504472	0.101290517
N2164	XY	4.67058634	0.084490012
N2165	XY	4.895793573	0.064291772
N2166	XY	4.950705751	0.059102503
N2167	XY	4.705998126	0.079621988
N2168	XY	5.071478576	0.043038834
N2169	XY	5.044158194	0.055757515
N2170	XY	5.26705796	0.040562276
N2171	XY	5.045289444	0.049297268
N2172	XY	4.957046802	0.061717472
N2173	XY	4.880077222	0.066013054
N2174	XY	4.801363318	0.072447315
N2175	XY	4.851364044	0.070607738
N2176	XY	4.52472802	0.103609489
N2177	XY	4.905518548	0.063994821
N2178	XY	4.935745923	0.059716126
N2179	XY	4.784977596	0.079072429
N2180	XY	4.77490314	0.081978991
N2181	XY	4.796736594	0.084054234
N2182	XY	4.915664274	0.057447252
N2183	XY	4.982121899	0.053957489
N2184	XY	4.910865112	0.063020741
N2185	XY	4.555584353	0.099724752
N2186	XY	4.906511082	0.061466046
N2187	XY	5.220894473	0.043864847
N2188	XY	4.510303289	0.104349193
N2189	XY	4.771840072	0.074782342
N2190	XY	4.689048214	0.08239091
N2191	XY	4.694653105	0.09500731
N2192	XY	4.297051872	0.058798761
N2193	XY	4.527301344	0.10343796
N2194	XY	4.863490335	0.065542341
N2195	XY	4.807083809	0.066181003
N2196	XY	4.612621462	0.098194377
N2197	XY	4.954575141	0.062888396
N2198	XY	4.88510434	0.070250051
N2199	XY	4.760881	0.080575702
N2200	XY	4.845826876	0.068574604
N2201	XY	4.725713023	0.078541922
N2202	XY	4.610272001	0.095101572
N2203	XY	4.883324475	0.069925236
N2204	XY	5.032401603	0.057929338
N2205	XY	4.613288997	0.086913683
N2206	XY	4.918367569	0.065004537
N2207	XY	4.964818238	0.055891832
N2208	XY	4.598717147	0.097140212
N2209	XY	4.8102676	0.075959208
N2210	XY	5.00235921	0.053221143
N2211	XY	4.878090286	0.069248694
N2212	XY	4.755962445	0.077881478
N2213	XY	4.901219192	0.061274521
N2214	XY	4.892251069	0.066068207
N2215	XY	4.830102993	0.075365069
N2216	XY	4.584351966	0.090212947
N2217	XY	4.91497371	0.063324154
N2218	XY	4.989723222	0.057910292
N2219	XY	4.924477042	0.072608967
N2220	XY	5.051227254	0.04069234
N2221	XY	4.489211982	0.10902687
N2222	XY	4.600630663	0.096196358
N2223	XY	4.830141644	0.072376751
N2224	XY	4.835545527	0.068124722
N2225	XY	4.797631167	0.055113551
N2226	XY	4.533617747	0.103048183
N2227	XY	4.974829719	0.054572017
N2228	XY	4.742651598	0.077083519
N2229	XY	4.330146714	0.130786934
N2230	XY	4.721195283	0.083196663
N2231	XY	4.926028551	0.070422039
N2232	XY	4.751958396	0.081904183
N2233	XY	5.232037688	0.032007063
N2234	XY	4.579810306	0.099314345
N2235	XY	4.913817635	0.065025407
N2236	XY	4.460495672	0.104800472
N2237	XY	4.944042568	0.057400602
N2238	XY	4.515826988	0.107392825
N2239	XY	4.620788472	0.086854459
N2240	XY	4.776916377	0.070024775
N2241	XY	5.023954582	0.051478111
N2242	XY	4.55354854	0.097555742
N2243	XY	4.958289162	0.052780195
N2244	XY	4.765090887	0.087703043
N2245	XY	4.560966146	0.103240247
N2246	XY	4.841820697	0.068902783
N2247	XY	4.671702785	0.087655982
N2248	XY	4.800030824	0.06458923
N2249	XY	4.781481335	0.080214885
N2250	XY	4.902382024	0.066595357
N2251	XY	4.716618021	0.08792946
N2252	XY	4.575278311	0.100888394
N2253	XY	4.657092044	0.083776694
N2254	XY	5.349120763	0.033743328
N2255	XY	4.402297158	0.115910656
N2256	XY	4.565595209	0.102449893
N2257	XY	4.870116693	0.059975814
N2258	XY	4.854156276	0.071235712
N2259	XY	4.372412543	0.121876353
N2260	XY	4.8110795	0.074952357
N2261	XY	4.606680171	0.089421321
N2262	XY	4.721994935	0.081271122
N2263	XY	4.751716616	0.066145394
N2264	XY	4.782572549	0.083784069
N2265	XY	4.993890344	0.057219751
N2266	XY	4.84610138	0.072840073
N2267	XY	4.688148912	0.088609118
N2268	XY	4.780294195	0.071827245
N2269	XY	4.75584554	0.08242717
N2270	XY	4.791207321	0.073423972
N2271	XY	4.636007639	0.088509845
N2272	XY	4.895908389	0.068109126
N2273	XY	4.561938322	0.091957586
N2274	XY	4.647373257	0.0874493
N2275	XY	4.85951831	0.063911253
N2276	XY	4.606275315	0.094786749
N2277	XY	4.496609214	0.101623977
N2278	XY	4.75392924	0.080157546
N2279	XY	4.634213391	0.090197897
N2280	XY	5.068096144	0.054228556
N2281	XY	4.605077095	0.100791101
N2282	XY	4.566176187	0.100544269
N2283	XY	4.791786265	0.079186564
N2284	XY	4.898699052	0.06403175
N2285	XY	4.742709415	0.078261762
N2286	XY	4.780941745	0.077649417
N2287	XY	4.862091868	0.068638782
N2288	XY	4.876281349	0.072417389
N2289	XY	5.117098192	0.045134928
N2290	XY	5.162702006	0.052071015
N2291	XY	4.724224571	0.081650527
N2292	XY	4.695119162	0.089174012
N2293	XY	4.784730369	0.074628081
N2294	XY	4.630798634	0.091163277
N2295	XY	4.851108139	0.064281218
N2296	XY	4.777648124	0.074502335
N2297	XY	4.951883532	0.057442261
N2298	XY	4.714167415	0.081652193
N2299	XY	4.695625244	0.087821163
N2300	XY	4.936867123	0.056619288
N2301	XY	4.824673145	0.07277169
N2302	XY	4.794004666	0.075520194
N2303	XY	4.551099013	0.099543719
N2304	XY	4.825038579	0.075884686
N2305	XY	4.863082662	0.065754203
N2306	XY	4.523523879	0.102500567
N2307	XY	4.848591512	0.066964488
N2308	XY	4.849649869	0.072267878
N2309	XY	4.824229568	0.068069024
N2310	XY	4.542649949	0.096831493
N2311	XY	4.892952822	0.061192276
N2312	XY	4.646616269	0.084432532
N2313	XY	4.686542174	0.08384551
N2314	XY	5.058193167	0.044148559
N2315	XY	4.795875043	0.077890752
N2316	XY	4.805460714	0.074792994
N2317	XY	4.633023613	0.092351641
N2318	XY	4.687379602	0.081092873
N2319	XY	4.741188905	0.083413022
N2320	XY	4.983283604	0.063545233
N2321	XY	4.956881284	0.067059066
N2322	XY	4.615228651	0.094684136
N2323	XY	4.790156302	0.074968099
N2324	XY	4.64358764	0.09162037
N2325	XY	4.6476503	0.087287879
N2326	XY	4.893196501	0.06250505
N2327	XY	4.810016397	0.07504935
N2328	XY	4.556275188	0.092253718
N2329	XY	4.615815296	0.089391411
N2330	XY	4.601224945	0.095422827
N2331	XY	4.605581668	0.092676866
N2332	XY	4.884474762	0.063851932
N2333	XY	4.990159625	0.053346851
N2334	XY	4.991753806	0.061971243
N2335	XY	4.717782361	0.081848882
N2336	XY	4.915380928	0.063809524
N2337	XY	4.997026353	0.056943535
N2338	XY	5.030036998	0.053272293
